,r,g,b,y
100lx,0,0,0,0
2700K,21,2,2,35
3000K,15,3,2,30
3500K,25,5,4,35
4200K,25,7,6,30
5000K,16,7,6,28
6500K,20,12,11,30
200lx,0,0,0,0
2700K,45,2,2,75
3000K,44,3,3,74
3500K,45,8,6,70
4200K,42,14,12,72
5000K,40,20,17,65
6500K,45,25,23,60
250lx,0,0,0,0
2700K,56,2,2,94
3000K,55,3,3,93
3500K,56,10,7,88
4200K,52,17,15,91
5000K,50,25,20,81
6500K,56,30,28,75
300lx,0,0,0,0
2700K,67,3,3,112
3000K,66,4,4,111
3500K,67,12,9,105
4200K,63,21,18,108
5000K,60,30,25,97
6500K,67,37,34,90
400lx,0,0,0,0
2700K,100,2,2,160
3000K,110,8,9,150
3500K,90,20,15,140
4200K,80,30,25,140
5000K,80,40,35,130
6500K,90,50,45,125
450lx,0,0,0,0
2700K,100,4,4,168
3000K,99,6,6,166
3500K,100,18,13,157
4200K,94,31,27,162
5000K,90,45,37,145
6500K,100,55,51,135
500lx,0,0,0,0
2700K,112,4,4,189
3000K,111,6,6,186
3500K,112,20,14,176
4200K,105,34,30,182
5000K,101,50,41,162
6500K,112,61,57,151
675lx,0,0,0,0
2700K,150,6,6,252
3000K,148,9,9,249
3500K,150,27,19,235
4200K,141,46,40,243
5000K,135,67,55,217
6500K,150,82,76,202
800lx,0,0,0,0
2700K,200,1,1,310
3000K,220,23,23,285
3500K,175,40,30,290
4200K,160,60,50,280
5000K,165,80,70,265
6500K,180,100,90,250
900lx,0,0,0,0
2700K,191,7,7,323
3000K,189,10,10,318
3500K,191,34,23,300
4200K,180,58,51,310
5000K,171,85,69,277
6500K,191,104,97,258
950lx,0,0,0,0
2700K,213,8,8,359
3000K,210,12,12,354
3500K,213,38,26,334
4200K,200,65,57,345
5000K,191,95,77,308
6500K,213,116,108,287
1000lx,0,0,0,0
2700K,225,9,9,378
3000K,222,13,13,373
3500K,225,40,28,352
4200K,211,69,60,364
5000K,202,100,82,325
6500K,225,123,114,303
